<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;D;20200106;000000;61.8106000
USDRUB;D;20200107;000000;62.0155000
USDRUB;D;20200108;000000;61.2710000
USDRUB;D;20200109;000000;61.2910000
USDRUB;D;20200110;000000;61.0140000
USDRUB;D;20200112;000000;61.1254000
USDRUB;D;20200113;000000;61.2220000
USDRUB;D;20200114;000000;61.3686000
USDRUB;D;20200115;000000;61.3660000
USDRUB;D;20200116;000000;61.6375000
USDRUB;D;20200117;000000;61.5550000
USDRUB;D;20200119;000000;61.5350000
USDRUB;D;20200120;000000;61.5942000
USDRUB;D;20200121;000000;61.8736000
USDRUB;D;20200122;000000;61.8956000
USDRUB;D;20200123;000000;61.9160000
USDRUB;D;20200124;000000;62.0733000
USDRUB;D;20200126;000000;62.2178000
USDRUB;D;20200127;000000;62.9190000
USDRUB;D;20200128;000000;62.2383000
USDRUB;D;20200129;000000;62.5167000
USDRUB;D;20200130;000000;63.2212000
USDRUB;D;20200131;000000;63.9510000
USDRUB;D;20200202;000000;63.9360000
USDRUB;D;20200203;000000;63.6730000
USDRUB;D;20200204;000000;62.9070000
USDRUB;D;20200205;000000;62.8530000
USDRUB;D;20200206;000000;63.2900000
USDRUB;D;20200207;000000;64.1390000
USDRUB;D;20200209;000000;64.1119000
USDRUB;D;20200210;000000;64.0880000
USDRUB;D;20200211;000000;63.3490000
USDRUB;D;20200212;000000;63.2970000
USDRUB;D;20200213;000000;63.6080000
USDRUB;D;20200214;000000;63.4940000
USDRUB;D;20200216;000000;63.4500000
USDRUB;D;20200217;000000;63.5722000
USDRUB;D;20200218;000000;63.8460000
USDRUB;D;20200219;000000;63.5680000
USDRUB;D;20200220;000000;64.1620000
USDRUB;D;20200221;000000;64.0455000
USDRUB;D;20200223;000000;64.2875000
USDRUB;D;20200224;000000;65.3565000
USDRUB;D;20200225;000000;65.3039000
USDRUB;D;20200226;000000;65.4650000
USDRUB;D;20200227;000000;66.3084000
USDRUB;D;20200228;000000;66.7112000
USDRUB;D;20200301;000000;67.0476000
USDRUB;D;20200302;000000;66.3840000
USDRUB;D;20200303;000000;66.1911000
USDRUB;D;20200304;000000;66.1960000
USDRUB;D;20200305;000000;67.5510000
USDRUB;D;20200306;000000;68.5302000
USDRUB;D;20200308;000000;72.0424000
USDRUB;D;20200309;000000;74.4604000
USDRUB;D;20200310;000000;71.2490000
USDRUB;D;20200311;000000;72.4516000
USDRUB;D;20200312;000000;74.9831000
USDRUB;D;20200313;000000;72.4305000
USDRUB;D;20200315;000000;73.2638000
USDRUB;D;20200316;000000;74.2693000
USDRUB;D;20200317;000000;75.1251000
USDRUB;D;20200318;000000;81.0824000
USDRUB;D;20200319;000000;78.9120000
USDRUB;D;20200320;000000;80.0139000
USDRUB;D;20200322;000000;80.4783000
USDRUB;D;20200323;000000;79.3661000
USDRUB;D;20200324;000000;78.2055000
USDRUB;D;20200325;000000;78.3037000
USDRUB;D;20200326;000000;77.3360000
USDRUB;D;20200327;000000;78.7206000
USDRUB;D;20200329;000000;79.4896000
USDRUB;D;20200330;000000;79.6015000
USDRUB;D;20200331;000000;78.3620000
USDRUB;D;20200401;000000;78.6360000
USDRUB;D;20200402;000000;76.9690000
USDRUB;D;20200403;000000;76.4500000
USDRUB;D;20200405;000000;77.0420000
USDRUB;D;20200406;000000;75.9684000
USDRUB;D;20200407;000000;75.3916000
USDRUB;D;20200408;000000;75.0788000
USDRUB;D;20200409;000000;74.3788000
